source;target;weight
bbcglasto;junesarpong;1
bbcglasto;killmenow;3
bbcglasto;treehouse;1
bbcglasto;newfan;1
bbcglasto;wonderwall;3
bbcglasto;dubstep;2
bbcglasto;saturday;1
bbcglasto;dream;1
bbcglasto;usedtobe888inmyday;1
bbcglasto;anthem;1
bbcglasto;loon;1
bbcglasto;ineed;1
bbcglasto;petan;2
bbcglasto;tune;17
bbcglasto;sadlife;1
bbcglasto;wonderlall;1
bbcglasto;notrockandroll;2
bbcglasto;majorlaser;1
bbcglasto;notallbad;1
bbcglasto;rocks;4
bbcglasto;getyourrocksoff;3
bbcglasto;pinksuit;2
bbcglasto;bbcglastonbury;8
bbcglasto;rocksoff;1
bbcglasto;bobbygillespie;1
bbcglasto;bobbygillespe;1
bbcglasto;commitment;1
bbcglasto;loveit;7
bbcglasto;shittingstones;1
bbcglasto;tinthepark;2
bbcglasto;naim;1
bbcglasto;tdcc;6
bbcglasto;glastno;3
bbcglasto;hiam;1
bbcglasto;whatsnottolove;2
bbcglasto;thatisall;3
bbcglasto;wait;1
bbcglasto;muffled;1
bbcglasto;iplayer;2
bbcglasto;redbutton;5
bbcglasto;loner;1
bbcglasto;bettertobehonest;1
bbcglasto;cuttingoffmynosetospitemyface;1
bbcglasto;hetsival2013;1
bbcglasto;newmusic;1
bbcglasto;unsignedbands;1
bbcglasto;unbelievable;1
bbcglasto;throwback;1
bbcglasto;silverhayes;2
bbcglasto;hot;1
bbcglasto;sorteditout;1
bbcglasto;soconfused;1
bbcglasto;areyou;1
bbcglasto;bcafc;2
bbcglasto;getrudimentaloff;1
bbcglasto;boooom;2
bbcglasto;livingthedream;1
bbcglasto;fb;8
bbcglasto;glastolove;1
bbcglasto;awful;4
bbcglasto;drumandbugle;1
bbcglasto;old;4
bbcglasto;example;103
bbcglasto;legends;25
bbcglasto;horrendouscoverage;1
bbcglasto;justterrible;2
bbcglasto;dancelikerudimental;1
bbcglasto;chilled;1
bbcglasto;cuddles;1
bbcglasto;watchoutforthis;1
bbcglasto;blastfromthepast;1
bbcglasto;comfycouch;1
bbcglasto;just;1
bbcglasto;rip;1
bbcglasto;bounce;2
bbcglasto;noteventhatgood;2
bbcglasto;excited;5
bbcglasto;gettingimpatient;2
bbcglasto;calexixo;1
bbcglasto;goslow;9
bbcglasto;boom;1
bbcglasto;loveglasto;1
bbcglasto;americanshite;1
bbcglasto;familyisforlife;2
bbcglasto;daisurfer;2
bbcglasto;swansea;2
bbcglasto;glastonburyfestival;1
bbcglasto;betherenextyear;1
bbcglasto;twothousandandthirteen;1
bbcglasto;gorgeousvoices;1
bbcglasto;calexico;1
bbcglasto;getthemusicloversbackpresenting;1
bbcglasto;legendary;5
bbcglasto;johnpeel;1
bbcglasto;weird;1
bbcglasto;oldmantweet;1
bbcglasto;throwninthedeepend;1
bbcglasto;house;1
bbcglasto;littlefluffyclouds;1
bbcglasto;oldschool;1
bbcglasto;tivo;1
bbcglasto;parklifealumni;3
bbcglasto;gingerproblems;1
bbcglasto;stopthecull;1
bbcglasto;bigweekend;1
bbcglasto;fatpopsfan;1
bbcglasto;budnglasto;1
bbcglasto;dontbelievethehype;3
bbcglasto;petpeeveoftheday;1
bbcglasto;ni;1
bbcglasto;wordsofcorinnejackson;1
bbcglasto;vaccines;1
bbcglasto;bonnie_bling;1
bbcglasto;3pointsforromania;1
bbcglasto;keepturningthetvdown;1
bbcglasto;sunshine;1
bbcglasto;imweakfor;1
bbcglasto;anewbritishboyband;10
bbcglasto;beyoncebetawards;1
bbcglasto;2doorcinemaclub;3
